datasetName,NumberOfClasses,DPSN,BOSS,ST
ArrowHead,3,78.725,67.6,51.2571
BME,3,72.0,82.7333,64.0667
CBF,3,97.5778,96.1,89.7556
Chinatown,2,80.4083,78.5507,71.5942
ECG200,2,83.1667,75.9,65.6
GunPoint,2,95.425,84.5333,79.8667
GunPointAgeSpan,2,84.9167,80.5696,63.6392
GunPointOldVersusYoung,2,80.1417,77.2381,68.8254
ItalyPowerDemand,2,80.8917,78.8144,62.6142
MoteStrain,2,82.4083,79.0256,77.8674
Plane,7,99.75,99.2381,55.4286
SonyAIBORobotSurface1,2,55.1208,53.7105,58.5025
SonyAIBORobotSurface2,2,81.2208,79.7167,68.8982
SyntheticControl,6,76.4681,76.5667,76.7333
ToeSegmentation1,2,96.1792,85.3947,77.5439
TwoLeadECG,2,93.4833,89.7981,75.8297
UMD,3,85.6194,85.9028,85.5556 
Wine,2,64.5167,57.2222,50.0
